N_Vecinos,Tipo_vot,P_casos,P_Atrib,Distance,Prec_pred
9,0,50,Igual_votos,[],Euclidea,0.9733333333333334
9,0,55,Igual_votos,[],Euclidea,0.9733333333333334
9,0,60,Igual_votos,[],Euclidea,0.9533333333333334
9,0,65,Igual_votos,[],Euclidea,0.9533333333333334
9,0,67,Igual_votos,[],Euclidea,0.9533333333333334
9,0,70,Igual_votos,[],Euclidea,0.92
9,0,75,Igual_votos,[],Euclidea,0.92
9,0,50,Voto_fijo,[],Euclidea,0.98
9,0,55,Voto_fijo,[],Euclidea,0.9733333333333334
9,0,60,Voto_fijo,[],Euclidea,0.96
9,0,65,Voto_fijo,[],Euclidea,0.9533333333333334
9,0,67,Voto_fijo,[],Euclidea,0.9533333333333334
9,0,70,Voto_fijo,[],Euclidea,0.9466666666666667
9,0,75,Voto_fijo,[],Euclidea,0.94
9,0,80,Voto_fijo,[],Euclidea,0.9333333333333333
9,0,50,Igual_votos,[],Manhattan,0.9533333333333334
9,0,55,Igual_votos,[],Manhattan,0.9533333333333334
9,0,60,Igual_votos,[],Manhattan,0.9466666666666667
9,0,65,Igual_votos,[],Manhattan,0.9466666666666667
9,0,67,Igual_votos,[],Manhattan,0.9466666666666667
9,0,70,Igual_votos,[],Manhattan,0.92
9,0,75,Igual_votos,[],Manhattan,0.92
9,0,80,Igual_votos,[],Manhattan,0.9
9,0,85,Igual_votos,[],Manhattan,0.9
9,0,50,Voto_fijo,[],Manhattan,0.9733333333333334
9,0,55,Voto_fijo,[],Manhattan,0.96
9,0,60,Voto_fijo,[],Manhattan,0.9533333333333334
9,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
9,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
9,0,70,Voto_fijo,[],Manhattan,0.9333333333333333
9,0,75,Voto_fijo,[],Manhattan,0.9333333333333333
9,0,80,Voto_fijo,[],Manhattan,0.9266666666666666
9,0,85,Voto_fijo,[],Manhattan,0.9
9,0,50,Igual_votos,[],Chebychef,0.9866666666666667
9,0,55,Igual_votos,[],Chebychef,0.9866666666666667
9,0,60,Igual_votos,[],Chebychef,0.96
9,0,65,Igual_votos,[],Chebychef,0.96
9,0,67,Igual_votos,[],Chebychef,0.96
9,0,70,Igual_votos,[],Chebychef,0.9066666666666666
9,0,75,Igual_votos,[],Chebychef,0.9066666666666666
9,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
9,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
9,0,60,Voto_fijo,[],Chebychef,0.9733333333333334
9,0,65,Voto_fijo,[],Chebychef,0.9466666666666667
9,0,67,Voto_fijo,[],Chebychef,0.9466666666666667
9,0,70,Voto_fijo,[],Chebychef,0.94
9,0,75,Voto_fijo,[],Chebychef,0.9333333333333333
9,0,80,Voto_fijo,[],Chebychef,0.9133333333333333
10,0,50,Igual_votos,[],Euclidea,0.9666666666666667
10,0,55,Igual_votos,[],Euclidea,0.9666666666666667
10,0,60,Igual_votos,[],Euclidea,0.9666666666666667
10,0,65,Igual_votos,[],Euclidea,0.9333333333333333
10,0,67,Igual_votos,[],Euclidea,0.9333333333333333
10,0,70,Igual_votos,[],Euclidea,0.9333333333333333
10,0,75,Igual_votos,[],Euclidea,0.9133333333333333
10,0,80,Igual_votos,[],Euclidea,0.9133333333333333
10,0,50,Voto_fijo,[],Euclidea,0.98
10,0,55,Voto_fijo,[],Euclidea,0.98
10,0,60,Voto_fijo,[],Euclidea,0.9533333333333334
10,0,65,Voto_fijo,[],Euclidea,0.9466666666666667
10,0,67,Voto_fijo,[],Euclidea,0.9466666666666667
10,0,70,Voto_fijo,[],Euclidea,0.94
10,0,75,Voto_fijo,[],Euclidea,0.9333333333333333
10,0,80,Voto_fijo,[],Euclidea,0.9333333333333333
10,0,50,Igual_votos,[],Manhattan,0.9466666666666667
10,0,55,Igual_votos,[],Manhattan,0.9466666666666667
10,0,60,Igual_votos,[],Manhattan,0.9466666666666667
10,0,65,Igual_votos,[],Manhattan,0.9266666666666666
10,0,67,Igual_votos,[],Manhattan,0.9266666666666666
10,0,70,Igual_votos,[],Manhattan,0.9266666666666666
10,0,75,Igual_votos,[],Manhattan,0.9133333333333333
10,0,80,Igual_votos,[],Manhattan,0.9133333333333333
10,0,50,Voto_fijo,[],Manhattan,0.9733333333333334
10,0,55,Voto_fijo,[],Manhattan,0.9533333333333334
10,0,60,Voto_fijo,[],Manhattan,0.9533333333333334
10,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
10,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
10,0,70,Voto_fijo,[],Manhattan,0.9333333333333333
10,0,75,Voto_fijo,[],Manhattan,0.9333333333333333
10,0,80,Voto_fijo,[],Manhattan,0.9266666666666666
10,0,50,Igual_votos,[],Chebychef,0.98
10,0,55,Igual_votos,[],Chebychef,0.98
10,0,60,Igual_votos,[],Chebychef,0.98
10,0,65,Igual_votos,[],Chebychef,0.9333333333333333
10,0,67,Igual_votos,[],Chebychef,0.9333333333333333
10,0,70,Igual_votos,[],Chebychef,0.9333333333333333
10,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
10,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
10,0,60,Voto_fijo,[],Chebychef,0.98
10,0,65,Voto_fijo,[],Chebychef,0.96
10,0,67,Voto_fijo,[],Chebychef,0.9466666666666667
10,0,70,Voto_fijo,[],Chebychef,0.94
10,0,75,Voto_fijo,[],Chebychef,0.9133333333333333
10,0,80,Voto_fijo,[],Chebychef,0.9066666666666666
11,0,50,Igual_votos,[],Euclidea,0.9733333333333334
11,0,55,Igual_votos,[],Euclidea,0.9533333333333334
11,0,60,Igual_votos,[],Euclidea,0.9533333333333334
11,0,65,Igual_votos,[],Euclidea,0.92
11,0,67,Igual_votos,[],Euclidea,0.92
11,0,70,Igual_votos,[],Euclidea,0.92
11,0,75,Igual_votos,[],Euclidea,0.9066666666666666
11,0,80,Igual_votos,[],Euclidea,0.9066666666666666
11,0,50,Voto_fijo,[],Euclidea,0.98
11,0,55,Voto_fijo,[],Euclidea,0.98
11,0,60,Voto_fijo,[],Euclidea,0.9533333333333334
11,0,65,Voto_fijo,[],Euclidea,0.9466666666666667
11,0,67,Voto_fijo,[],Euclidea,0.9466666666666667
11,0,70,Voto_fijo,[],Euclidea,0.94
11,0,75,Voto_fijo,[],Euclidea,0.9333333333333333
11,0,80,Voto_fijo,[],Euclidea,0.9133333333333333
11,0,50,Igual_votos,[],Manhattan,0.9733333333333334
11,0,55,Igual_votos,[],Manhattan,0.9333333333333333
11,0,60,Igual_votos,[],Manhattan,0.9333333333333333
11,0,65,Igual_votos,[],Manhattan,0.9266666666666666
11,0,67,Igual_votos,[],Manhattan,0.9266666666666666
11,0,70,Igual_votos,[],Manhattan,0.9266666666666666
11,0,75,Igual_votos,[],Manhattan,0.9133333333333333
11,0,80,Igual_votos,[],Manhattan,0.9133333333333333
11,0,50,Voto_fijo,[],Manhattan,0.9666666666666667
11,0,55,Voto_fijo,[],Manhattan,0.9533333333333334
11,0,60,Voto_fijo,[],Manhattan,0.9466666666666667
11,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
11,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
11,0,70,Voto_fijo,[],Manhattan,0.9333333333333333
11,0,75,Voto_fijo,[],Manhattan,0.9333333333333333
11,0,80,Voto_fijo,[],Manhattan,0.92
11,0,50,Igual_votos,[],Chebychef,0.9866666666666667
11,0,55,Igual_votos,[],Chebychef,0.9533333333333334
11,0,60,Igual_votos,[],Chebychef,0.9533333333333334
11,0,65,Igual_votos,[],Chebychef,0.9066666666666666
11,0,67,Igual_votos,[],Chebychef,0.9066666666666666
11,0,70,Igual_votos,[],Chebychef,0.9066666666666666
11,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
11,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
11,0,60,Voto_fijo,[],Chebychef,0.98
11,0,65,Voto_fijo,[],Chebychef,0.96
11,0,67,Voto_fijo,[],Chebychef,0.96
11,0,70,Voto_fijo,[],Chebychef,0.92
11,0,75,Voto_fijo,[],Chebychef,0.9066666666666666
12,0,50,Igual_votos,[],Euclidea,0.96
12,0,55,Igual_votos,[],Euclidea,0.96
12,0,60,Igual_votos,[],Euclidea,0.94
12,0,65,Igual_votos,[],Euclidea,0.94
12,0,67,Igual_votos,[],Euclidea,0.94
12,0,70,Igual_votos,[],Euclidea,0.9066666666666666
12,0,75,Igual_votos,[],Euclidea,0.9066666666666666
12,0,50,Voto_fijo,[],Euclidea,0.98
12,0,55,Voto_fijo,[],Euclidea,0.98
12,0,60,Voto_fijo,[],Euclidea,0.9466666666666667
12,0,65,Voto_fijo,[],Euclidea,0.9466666666666667
12,0,67,Voto_fijo,[],Euclidea,0.9466666666666667
12,0,70,Voto_fijo,[],Euclidea,0.94
12,0,75,Voto_fijo,[],Euclidea,0.9266666666666666
12,0,80,Voto_fijo,[],Euclidea,0.9066666666666666
12,0,50,Igual_votos,[],Manhattan,0.9466666666666667
12,0,55,Igual_votos,[],Manhattan,0.9466666666666667
12,0,60,Igual_votos,[],Manhattan,0.9333333333333333
12,0,65,Igual_votos,[],Manhattan,0.9333333333333333
12,0,67,Igual_votos,[],Manhattan,0.9333333333333333
12,0,70,Igual_votos,[],Manhattan,0.9133333333333333
12,0,75,Igual_votos,[],Manhattan,0.9133333333333333
12,0,80,Igual_votos,[],Manhattan,0.9066666666666666
12,0,50,Voto_fijo,[],Manhattan,0.9666666666666667
12,0,55,Voto_fijo,[],Manhattan,0.9466666666666667
12,0,60,Voto_fijo,[],Manhattan,0.9466666666666667
12,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
12,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
12,0,70,Voto_fijo,[],Manhattan,0.9333333333333333
12,0,75,Voto_fijo,[],Manhattan,0.9266666666666666
12,0,80,Voto_fijo,[],Manhattan,0.9133333333333333
12,0,50,Igual_votos,[],Chebychef,0.9666666666666667
12,0,55,Igual_votos,[],Chebychef,0.9666666666666667
12,0,60,Igual_votos,[],Chebychef,0.9133333333333333
12,0,65,Igual_votos,[],Chebychef,0.9133333333333333
12,0,67,Igual_votos,[],Chebychef,0.9133333333333333
12,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
12,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
12,0,60,Voto_fijo,[],Chebychef,0.98
12,0,65,Voto_fijo,[],Chebychef,0.96
12,0,67,Voto_fijo,[],Chebychef,0.9466666666666667
12,0,70,Voto_fijo,[],Chebychef,0.92
12,0,75,Voto_fijo,[],Chebychef,0.9066666666666666
13,0,50,Igual_votos,[],Euclidea,0.9733333333333334
13,0,55,Igual_votos,[],Euclidea,0.9466666666666667
13,0,60,Igual_votos,[],Euclidea,0.9466666666666667
13,0,65,Igual_votos,[],Euclidea,0.9333333333333333
13,0,67,Igual_votos,[],Euclidea,0.9333333333333333
13,0,70,Igual_votos,[],Euclidea,0.9066666666666666
13,0,75,Igual_votos,[],Euclidea,0.9066666666666666
13,0,50,Voto_fijo,[],Euclidea,0.98
13,0,55,Voto_fijo,[],Euclidea,0.9733333333333334
13,0,60,Voto_fijo,[],Euclidea,0.9533333333333334
